narendramodi,sardanarohit
0,1
1,1
2,2
3,3
4,3
4,3
4,4
4,4
4,4
5,4
6,4
7,5
8,5
9,6
10,7
11,7
12,8
13,8
14,8
14,8
15,9
16,9
16,10
16,10
17,11
17,12
17,12
18,12
18,12
19,13
20,14
21,15
22,15
23,15
24,16
25,17
26,18
26,18
27,18
28,18
29,19
30,19
30,20
30,21
31,22
32,23
33,23
34,24
35,24
36,24
36,25
37,26
38,26
38,26
39,26
40,27
41,27
42,28
43,28
44,29
44,29
45,30
46,30
47,31
48,31
49,31
49,31
49,32
50,32
50,33
51,33
52,33
52,34
52,35
53,36
54,36
55,36
56,36
57,36
58,36
59,36
60,37
60,37
60,38
61,39
61,39
62,40
63,40
64,40
65,41
65,41
66,41
67,41
68,42
69,43
69,44
69,45
70,46
70,46
71,46
